Date,who,Thing,Video,Platform,Theme,Views,Link
15/11/19,study.tn,DL50,Lecture 1: Machine Learning Summary,Y,AI,3283,https://www.Y.com/watch?v=LOD4PvvQ5js&list=PLI6Qwvuof4YPawKCRy3Y_MpQsjZkHIwB8&index=1
23/11/19,study.tn,DL50,Lecture 2 : Coding a complete machine learning project,Y,AI,1771,https://www.Y.com/watch?v=f7xIUqrUoqA&list=PLI6Qwvuof4YPawKCRy3Y_MpQsjZkHIwB8&index=2
6/12/19,study.tn,DL50,Lecture 3: Artificial Neural Networks (ANNs),Y,AI,1130,https://www.Y.com/watch?v=_HB0RPuTIgI&list=PLI6Qwvuof4YPawKCRy3Y_MpQsjZkHIwB8&index=3
6/12/19,Elyes Manai,Machine Learning 50,Lecture 1 - L'intelligence Artificielle fi noss se3a.,Y,AI,3207,https://www.Y.com/watch?v=YMgDpBbTcug&list=PLOyG6yVJdOXmZA0vkimYdaAENja1UGKB3
6/12/19,Elyes Manai,Machine Learning 50,Lecture 2 - Machine Learning fi 18 d9i9a,Y,AI,2001,https://www.Y.com/watch?v=BRBRT9UcWi0&list=PLOyG6yVJdOXmZA0vkimYdaAENja1UGKB3&index=2
6/12/19,Elyes Manai,Machine Learning 50,Lecture 3 - Domaines d'applications / Win mosta3mla?,Y,AI,988,https://www.Y.com/watch?v=BxmIUDE7ScY&list=PLOyG6yVJdOXmZA0vkimYdaAENja1UGKB3&index=3
6/12/19,Elyes Manai,Machine Learning 50,Lecture 4 - mnin nebda bich nit3alim?,Y,AI,1910,https://www.Y.com/watch?v=umku7kQrjtY&list=PLOyG6yVJdOXmZA0vkimYdaAENja1UGKB3&index=4
6/12/19,Elyes Manai,Machine Learning 50,Lecture 5: Linear Regression,Y,AI,1135,https://www.Y.com/watch?v=i_tZ7CQx7FA&list=PLOyG6yVJdOXmZA0vkimYdaAENja1UGKB3&index=5
6/12/19,Elyes Manai,Machine Learning 50,lecture 6: Logistic regression + F Feed Algorithm,Y,AI,981,https://www.Y.com/watch?v=SBBjPUuFvJU&list=PLOyG6yVJdOXmZA0vkimYdaAENja1UGKB3&index=6
29/3/18,Gomycode,Gomycode talks,Machine Learning for beginners workshop,Y,AI,3500,https://www.Y.com/watch?v=Q-K2l9H4uO0&t=564s
16/3/18,Gomycode,Gomycode talks,javaScript for Beginners,Y,Web,7350,https://www.Y.com/watch?v=XewKPAClkSw&t=70s
31/12/19,Elyes Manai,Rass 3am ,2019 in 4 minutes,Y,Personal,500,https://www.F.com/manai.elyes/videos/10215982678226950
25/9/20,NeuroData,NeuroData Podcast,Take Your Life To The Next Level with Elyes Manai,Y,Personal,1010,https://www.Y.com/watch?v=YBnxAPuOZ14
19/4/20,Oussema Dhouib,Oussema Dhouib,Interview,Y,AI,454,https://www.Y.com/watch?v=aWGFeL8-Wpg&t=448s
5/9/20,Tha9afa 3aama,fidni,Fidni #0: كيفاش تضمن مستقبلك ملي أنتي فالفاك,Y,Personal,2143,https://www.Y.com/watch?v=3WXOZpORyok&feature=youtu.be&fbclid=IwAR0pZTeVlHDI_UFMx-xA3DaP8vdW0yFmktLPRECu1JiiA-UYBvCnA0EmE-M
30/7/20,Tha9afa 3aama,orientini,L'Ecole Supérieure D'Economie Numerique (ESEN),Y,Personal,1046,https://www.Y.com/watch?v=mfv-tZugme0&t=2s
