Date,Event,Location,Venue,Organisers,Topic,Theme,Type,Attendees,Link,Pictures
2 November 2020,Training session,Online,Atingi,Orange,(Machine & Deep) Learning,AI,Workshop,35,,
18 October 2020,LRAI,Online,Google Meet,Nateg ENIT,Launch your career in AI (LRAI),AI,Talk,40,,
17 October 2020,Independant Talk,Online,Google Meet,Rotaract Marsa Plage,All about Entrepreneurship,Entrepreneurship,Talk,43,,
17 October 2020,LRAI,Online,Google Meet,DSC ISIMA,Launch your career in AI (LRAI),AI,Talk,25,,
16 October 2020,LRAI,Online,Google Meet,IEEE ENET'COM,Launch your career in AI (LRAI),AI,Talk,60,,
15 October 2020,LRAI,Online,Microsoft Teams,Microsoft ENSI,Launch your career in AI (LRAI),AI,Talk,370,,
14 October 2020,LRAI,Online,Microsoft Teams,IEEE CS SUP'COM,Launch your career in AI (LRAI),AI,Talk,70,,
13 October 2020,LRAI,Online,Google Meet,IEEE CIS ENIS,Launch your career in AI (LRAI),AI,Talk,60,,
10 October 2020, 3ich 7ilmik ,"Lac 1, Tunis",Cogite,JCI Tunis,Time Optimization,Personal Dev.,Talk,20,,
7 October 2020,LRAI,Online,Google Meet,DSC ISI,Launch your career in AI (LRAI),AI,Talk,60,,
3 October 2020,Summer School 3.0,"CUN, Ariana",Intersections,IEEE PES INSAT,Boost your career,Personal Dev.,Talkshop,15,,
30 September 2020,Level Up ,Online,Google Meet,Android ESEN,Boost your career via social activities,Motivational,Talk,45,,
26 September 2020,Let's talk ,Online,Google Meet,G2FOSS ENIT,Artificial Intelligence in a nutshell,AI,Talk,50,https://www.facebook.com/G2FOSS/photos/a.166294910085782/3359203510794890/,https://scontent.ftun4-1.fna.fbcdn.net/v/t1.0-9/120125427_3359203514128223_1675916708487522242_o.png?_nc_cat=104&ccb=2&_nc_sid=730e14&_nc_ohc=UyrtQIRiDO8AX-OuGuf&_nc_ht=scontent.ftun4-1.fna&oh=7907bb337f6bdb7fe4c96e276eca8510&oe=5FC5E168
31 August 2020,Formation NLP,Online,Multiple,Orange ODC,NLP: From Zero to Hero ,AI,Workshop,87,https://www.facebook.com/events/587347765271438/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22search%22%7D]%7D,N/A
16 May 2020,Business Talk #5,Online,Facebook,Business Innovation TV,Boosting your Business with Data and AI,AI,Talk,17,https://www.facebook.com/events/522047848489901/?__mref=mb,N/A
25 April 2020,Machine Learning Buffet,Online,Webex,DevC Algeria,Launch your career in AI (LRAI),AI,Talk,24,https://www.facebook.com/events/229273308146667/?__mref=mb,N/A
25 April 2020,Independant Talk,Online,Zoom,Startup Grind Bafang,AI in Business ,AI,Talk,2,https://www.facebook.com/manai.elyes/posts/10216997034905233,
